SYMBOL,SERIES,LTP,CHANGE,PERCENT_CHANGE,PRICE_BAND_PERCENT,VOLUME_LAKHS,VALUE_CRORES,HIGH_PRICE,LOW_PRICE,YEAR_HIGH,YEAR_LOW
S&SPOWER,EQ,322,3.3,   1.04,5,0.02414,0.078669846,334.6,318,444.95,193.5
GVKPIL,BE,2.41,0.04,   1.69,2,3.21527,0.077488007,2.41,2.41,4.06,2.04
MBECL,BE,401.59,19.12,   5.00,5,0.01893,0.076020987,401.59,401.59,401.59,213
PENTAGON,ST,91.35,4.35,   5.00,5,0.07,0.063441,91.35,87.1,100.1,49.15
DHARAN,BZ,0.14,0.01,   7.69,5,48.58146,0.063155898,0.14,0.13,0.61,0.11
CLSL,ST,71.55,-3.4,  -4.54,5,0.08,0.060824,78.65,71.55,92.25,39.05
CTE,BE,40.7,1.93,   4.98,5,0.14992,0.060762576,40.7,38.59,59.93,20.51
ZEAL,SM,80,5,   6.67,10,0.072,0.0584784,82.5,75.3,124.75,55.9
KRITINUT,EQ,82.75,2.3,   2.86,5,0.06156,0.050830092,84.47,80.61,102.99,51.36
TPHQ,BE,0.55,0.02,   3.77,5,9.26974,0.050056596,0.55,0.53,0.86,0.4
MPEL,ST,22.25,1.05,   4.95,5,0.192,0.0426624,22.25,22.2,93.84,19.2
PARASPETRO,EQ,2.15,0.02,   0.94,5,1.80581,0.039005496,2.23,2.13,3.23,1.53
TOYAMSL,EQ,0.77,0.03,   4.05,5,4.58115,0.035274855,0.77,0.77,0.77,0.6
DHRUV,EQ,21.35,-0.34,  -1.57,5,0.14049,0.031048290000000003,22.77,21,59.2,20.5
RNPL,SM,58.25,2.75,   4.95,5,0.048,0.027912,58.25,58.05,158,55.1
AUROIMPEX,SM,33.75,1.6,   4.98,5,0.08,0.027,33.75,33.75,53.95,21.25
AKI,BE,6.11,0.29,   4.98,5,0.43619,0.026651209000000002,6.11,6.11,10.48,3.8
DEEM,ST,40.95,1.95,   5.00,5,0.06,0.024282,40.95,38.1,64.45,29.35
GIRIRAJ,SM,77.3,-3.7,  -4.57,5,0.0225,0.01844325,85.05,77.3,378,52.3
FEL,BZ,0.37,0.01,   2.78,2,4.58221,0.016495956,0.37,0.36,0.65,0.34
IMPEXFERRO,BZ,5.58,0.1,   1.82,2,0.29142,0.016261236,5.58,5.58,5.58,1.3
LCCINFOTEC,EQ,3.44,0.16,   4.88,5,0.47268,0.016260192,3.44,3.44,5.89,2.88
GATECHDVR,BE,0.49,0.01,   2.08,5,3.34623,0.016061904000000002,0.5,0.48,0.67,0.36
888SCL25E,N4,800,-98, -10.91,20,0.00172,0.014249856,1077.6,800,1130,680.4
SEYAIND,BE,13.12,0.25,   1.94,2,0.10679,0.013839984,13.12,12.63,23.99,8.54
PPSL,SM,3,0.1,   3.45,5,0.45,0.01332,3,2.95,15.45,2.1
GFSTEELS,BE,25.44,1.21,   4.99,5,0.04818,0.012256992,25.44,25.44,25.44,10.21
CRAYONS,SM,23.5,0.45,   1.95,5,0.04,0.009492,24.2,23.05,58.85,22.8
FLFL,BZ,1.16,0.05,   4.50,5,0.78664,0.008967696,1.16,1.08,1.99,1.08
RADIOWALLA,ST,26.45,1.25,   4.96,5,0.032,0.0082624,26.45,25.2,72,22.2
TIMESCAN,SM,39.45,1.85,   4.92,5,0.02,0.00789,39.45,39.45,64.8,37.3
MPEL-RE,ST,1.8,0.15,   9.09,10,0.416,0.007488,1.8,1.8,7,1.4
EASTSILK,BE,64,2.94,   4.81,5,0.01041,0.0066467850000000005,64.11,61.5,99.25,40.99
ANSALAPI,BZ,3.59,0.07,   1.99,2,0.18299,0.006551042,3.59,3.55,5.02,2.51
SVPGLOB,EQ,3.5,0.15,   4.48,5,0.18472,0.006335896,3.51,3.27,6.89,2.18
SITINET,BZ,0.28,0.01,   3.70,2,2.2347,0.00603369,0.28,0.27,0.5,0.27
MASKINVEST,EQ,143.85,6.85,   5.00,5,0.00345,0.00495834,143.85,140.01,246.09,114.94
QUADPRO,ST,3.25,0.15,   4.84,5,0.12,0.0039,3.25,3.25,3.45,1.85
PARSVNATH,BE,1.84,0.03,   1.66,2,0.20372,0.003748448,1.84,1.84,18.75,1.35
INSPIRE,SM,9,-0.25,  -2.70,5,0.04,0.00374,9.7,9,17.9,6.8
WINNY,SM,32.45,1.5,   4.85,5,0.01,0.003245,32.45,32.45,79.7,29.45
QUICKTOUCH,SM,17,0.8,   4.94,5,0.015,0.00255,17,17,51,14.7
ANKITMETAL,BZ,1.73,0.03,   1.76,2,0.06003,0.0010385190000000001,1.73,1.73,2.12,1.29
FLEXITUFF,BE,2.58,0.12,   4.88,5,0.03818,0.000985044,2.58,2.58,26.6,2
SIEL,EQ,30,-1.5,  -4.76,5,0.00233,0.000704359,33.07,30,44.54,28.1
DSKULKARNI,BE,22.71,0.44,   1.98,2,0.00161,0.000365631,22.71,22.71,22.71,8.6
FELDVR,BZ,2.05,0.09,   4.59,5,0.01748,0.000347852,2.05,1.96,3.74,1.96
